product_no, name 
364,선택:베이지085
364,선택:베이지090
365,블랙(19)
365,카키(56)
367,S
367,M
367,L
367,XL
368,라벤더/55
368,라벤더/66
368,라벤더/77
368,라벤더/88
368,레드/55
368,레드/66
368,레드/77
368,레드/88
368,민트/55
368,민트/66
368,민트/77
369,색상:그레이|사이즈:77
369,색상:그레이|사이즈:88
369,색상:블루|사이즈:88
369,색상:오트밀|사이즈:88
372,사이즈:55
372,사이즈:66
372,사이즈:77
372,사이즈:88
373,2XL
373,3XL
373,F
373,XL
375,색상:네이비|사이즈:44
375,색상:네이비|사이즈:55
375,색상:네이비|사이즈:66
375,색상:네이비|사이즈:77
375,색상:네이비|사이즈:88
375,색상:아이보리|사이즈:44
375,색상:아이보리|사이즈:55
375,색상:아이보리|사이즈:66
375,색상:아이보리|사이즈:77
375,색상:핑크|사이즈:44
375,색상:핑크|사이즈:55
375,색상:핑크|사이즈:66
375,색상:핑크|사이즈:77
375,색상:핑크|사이즈:88
376,색상:그린|사이즈:44
376,색상:그린|사이즈:55
376,색상:그린|사이즈:66
376,색상:그린|사이즈:77
376,색상:그린|사이즈:88
376,색상:딥네이비|사이즈:55
376,색상:딥네이비|사이즈:66
376,색상:딥네이비|사이즈:77
376,색상:딥네이비|사이즈:88
376,색상:모카그레이|사이즈:44
376,색상:모카그레이|사이즈:55
376,색상:모카그레이|사이즈:66
376,색상:모카그레이|사이즈:77
376,색상:모카그레이|사이즈:88
376,색상:아이보리|사이즈:44
376,색상:아이보리|사이즈:55
376,색상:아이보리|사이즈:66
376,색상:아이보리|사이즈:77
376,색상:아이보리|사이즈:88
376,색상:옐로우|사이즈:44
376,색상:옐로우|사이즈:55
376,색상:옐로우|사이즈:66
376,색상:옐로우|사이즈:77
376,색상:옐로우|사이즈:88
380,1(90-100)
380,2(100-110)
380,3(110-120)
380,4(130-140)
380,5(140-150)
381,S(090)
381,M(095)
382,PM1  120cm
382,PM1  130cm
382,PM1  140cm
382,PM1  150cm
382,PM1  160cm
382,PM1  170cm
382,PM1 110cm
382,PM10  100cm
382,PM10  110cm
382,PM10  120cm
382,PM10  130cm
382,PM10  140cm
382,PM10  150cm
382,PM10  160cm
382,PM10  170cm
382,PM11  100cm
382,PM11  110cm
382,PM11  120cm
382,PM11  130cm
382,PM11  140cm
382,PM11  150cm
382,PM11  160cm
382,PM11  170cm
382,PM12  100cm
382,PM12  110cm
382,PM12  120cm
382,PM12  130cm
382,PM12  140cm
382,PM12  150cm
382,PM12  160cm
382,PM12  170cm
382,PM13  100cm
382,PM13  110cm
382,PM13  120cm
382,PM13  130cm
382,PM13  140cm
382,PM13  150cm
382,PM13  160cm
382,PM13  170cm
382,PM15  100cm
382,PM15  110cm
382,PM15  120cm
382,PM15  130cm
382,PM15  140cm
382,PM15  150cm
382,PM15  160cm
382,PM15  170cm
382,PM16  100cm
382,PM16  110cm
382,PM16  120cm
382,PM16  130cm
