product_no, img 
961,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/546823010218914-9e401982-d1de-48bd-847e-d5e180620996.jpg
962,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/11/23/14/1/361918f7-14d6-454d-a356-604e01155988.jpg
962,https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/yrmtkusd/2dd476909564435e86ef065ca8f13b6a.jpg
963,https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/03/22/15/4/716c3f2b-809b-4a4b-b909-fd27532286c5.jpg
963,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/ztpnt6ma/d8f32e6b9e704f99b09b42b10ddfeb68.jpg
963,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/03/22/15/6/a8b5a494-b464-42c4-aefc-04ef9ff7ff82.jpg
963,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/lmjflbia/6c717f7d66534fc7aabb2fe675659096.jpg
964,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/retail/images/9187626889569734-1b74e07a-8cfe-4b13-a0c3-3ffe079a3b5a.jpg
965,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/01/02/17/6/ea2ccbd0-eef8-4695-8741-5a045adff0ba.jpg
965,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/01/03/9/5/5b0e7691-0ad9-48b7-a8d2-5745e85c7476.jpg
965,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/0letbzab/9ceb43920812402186685b2596c0927e.jpg
966,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/vdqdj5vu/d963bb5cd9b244488a5e0e6e3cd5034c.jpg
967,https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/08/30/11/8/eb9e5c11-28ae-49a0-9ea4-b9954f1e7bcd.jpg
967,https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/svyiobq5/f636039c9d854f288023ef0f9fab4ffb.jpg
967,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2023/08/30/10/0/3e51ee8d-e683-4bff-ae0c-06511da065fa.png
968,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2020/01/16/12/5/81676281-f8be-4d02-b14d-9286c0eeb872.jpg
968,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/13078425701620710-42fa93cb-a405-4bd4-baf7-671f0d5ce325.PNG
968,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/13176741103117144-d95ea0b1-6b93-4151-a343-193c44f039e2.JPG
969,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/2iwg4ilt/db7130c6af154ab5bfcb01a178d7f92e.jpg
969,https://thumbnail10.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/31/20/0/4e2dbed5-9479-44cc-b066-b9da71fe72c2.jpg
969,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/31/20/5/4bd5527f-05cb-480f-9b82-a924faaa1016.jpg
969,https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/p3ls5hne/6ac4e23983834fc2b1fa9c15475bef31.jpg
969,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/hnd32u72/b6043053b6d84e35af933a7351f13b4f.jpg
969,https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/opolkg0i/f65dabcdb82f45afbc3f4c7a32a3803e.jpg
969,https://thumbnail6.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/4hdteww4/76092d36e431423ea1fd3898c4d7d59e.jpg
969,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/rs_quotation_api/dawkfx5k/d746baf807a94bbb800ecc94984ac975.jpg
969,https://thumbnail8.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/31/20/0/12eac42a-e343-409e-9910-2ba2b5724332.jpg
969,https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/31/20/2/6f9631b2-9615-40f9-afac-359eb50873af.jpg
970,https://thumbnail9.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/17/14/4/60c1b10f-6e97-493d-b561-04afb2958f09.jpg
970,https://thumbnail7.coupangcdn.com/thumbnails/remote/q89/image/retail/images/2022/08/17/14/0/9b5844a6-3d27-4f31-ba9e-11d45878d4ee.jpg
