no, title, price, delivery_price, main_img, category 
301,"스파오 (위베어베어스) 아동 퍼플리스 집업_SPFZ84VK21",19900,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1006/49f37542a1b775e13f9bc3017624d585a99b6d4994a7e76ff1ca68af77eb.jpg,10
302,"행텐 공용 23F/W 가볍고보온성이좋은 포켓 쉐르파 플리스 후드집업(상세설명참조) 뉴코아울산성남",19950,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3cff/0afee2b5b8b0ed03eed250cf5f181adb7c5a8c79bb6abd7374beb1edf6e8.jpg,10
303,"앨빈클로 남녀공용 데일리 무지 기모 후드집업 AZH539",19928,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/16454312064201-ecab2007-e852-429e-88f2-f68998edcc4b.jpg,10
304,"언더아머 후드티 라이벌 플리스 로고 HD 남성 블랙 1379758-001",31170,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2972/2daafc8a3c932734b3393a6cdde84106edb50cbe9365aeb03f2237e7e87d.jpg,10
305,"[A＆FITCH] 아베크롬비 그래픽 후드 집업 GRAY BLUE",59800,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/80a4/8dd90b54a7aa0fd9f0b46f2c9957f9520ec8edad45cd81bb076a38416d20.jpg,10
306,"앨빈클로 곰돌이 자수 후드집업 AZH658",34510,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pgmkzwso/712d65bdc8384c52b16de98f9259be99.jpg,10
307,"국내매장판 스노우피크 공용 후드집업 유니온 베이직 후드 집업 챠콜",77250,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/243a/c704120b3cbbe8051a7c2417158894ab869d1ed6c4fbd96431b71edb400f.png,10
308,"네이븐 이지 오버핏 기모 후드집업 N19HZ",18122,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2118116675490898-d251e12e-0947-4667-88ec-e2548d50f11f.jpg,10
309,"밀레 *MILLET* 남 녀 캐주얼 파라디 플리스후디자켓 *MVRFJ401* -16 블랙",55000,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/409d/e63eb5a3c7ec1582da04cadc9d91864deef533746990abf4710f19ca8a96.png,10
310,"지프 [NC불광점] * 70% * 남여공용 기모 소매포켓 후드집업!! (JM4TZU041)",39000,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3f15/935b8496c561fae41311d7434b694c255c3e810098b36bc5aa761b8a9ecd.jpg,10
311,"메이크잇 ROKA 로카 군용 방한 보아털 자수후리스 블랙",26900,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/77a1/db1e673e96f4fff4d6e1dee30fbced70a6e8807c088f36d697b1bfd0bf4b.jpg,10
312,"행텐 행텐 공용 베이직 셋업 테리 후드집업_045(10410-034-252-11)",28420,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bf36/f64d5ebf188052f8a6b1e152a19c2cd4868522f6323f472d64a36e4e6cbb.jpg,10
313,"땡큐솔져 ROKN 해군 후리스",12500,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/64e1/660f78c070aad38c6a9bda1038fa3fdcc72485fd804815ac8cce7fade981.jpg,10
314,"후드 판쵸 블랑켓",14400,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/12/30/10/0/2ed9d2d2-afcf-45d0-a311-2e1778b7de96.jpg,10
315,"아디다스보아후드집업자켓HN0670",45000,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6a29/e23fa421c0945add0d7895222febe41cf5c4eae0940b59ec52fbabf753ed.jpeg,10
316,"락사이코 오버핏 스트릿 양팔나염 레터링 쭈리원단 후드집업",37000,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e8d8/4a6f29f5601c2a2f70250d99675207c35c78ca954870c110ce78476ba87e.jpg,10
317,"게스 보아 플리스 후드 집업 남자 여자 점퍼 남녀공용 + 사은품",45990,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/56f3/9d794bbe7737d2e9baa344ffd06a20009c4dd523225f64eec3a24de3aa0d.jpg,10
318,"행텐주니어 행텐틴즈 리사이클 타프트퍼 플리스 후드점퍼_100(14390-010-804-69)",17510,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0f59/1a0d70c23e2ae44a4a32ed6bed108ce7eb199b5ff1b96bc530f4a438fcfa.jpg,10
319,"플루크 인터네셔널 후드집업 FZT103",32060,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/04/5235557608/ff3690b8-d844-4557-8465-862ca71e38da.jpg,10
320,"워나샵 국내제작 경이로운 소문 츄리닝바지 트레이닝팬츠 시보리조거(하의) 남여공용",9900,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f5f6/b675ddc0772e01cae81d5d95b0d7ca699b5109c43edbc0f68723ecafb0b0.jpg,10
321,"라비쉬바인 남녀공용 루즈핏 캐주얼 로고 후드집업",26500,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/aba8/ba8a045c298f9398462ffcf43b5755e59dc899a8979a0353f361ef4bb686.jpg,10
322,"베이직플러스 무지 후드 집업 조끼 BBK-106",22890,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zpuaxld7/9c503f532e3d4bb790f208e584385999.jpg,10
323,"CH-F1 오버핏 양면 후리스 집업",21900,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d119/f23f16c7bb31f92997c84299d0e34bb4dea74ddace176f00ad2e606c31b8.jpg,10
324,"언더아머 후드 집업 자켓 APAC 본디드 플리스 후드 재킷 기모 남녀공용 1376614",88960,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8e74/481bcb7103624bbf3a7b884a5a61373aea02a216ad33a502c7b92fd1fa83.jpg,10
325,"[매장정품] 내셔널지오그래픽 플리스 집업 후리스 자켓 뽀글이 남녀공용 가을 겨울 점퍼",105000,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b252/d294477178a5f9fbdc3e8f0c56813213ffb8898a04c6a9c02ff23f5869fa.jpg,10
326,"행텐주니어 행텐틴즈 리사이클 보아 후드집업_536(14390-010-801-69)",16390,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/be0f/471c5cb7350991f9dc47688402cd0f8bc6b5250eaa2b096e501adf89fbc0.jpg,10
327,"남여공용 두터운 후드 집업 자켓 인조 밍크",74500,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/db0d/af60860bbd7e3e794686c733cdac8dee50b308783004b1b544239aa61b97.jpg,10
328,"캐럿 유니섹스 덤블 플리스 자켓",15990,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5957572407380917-4953beec-b1d6-43a2-bc7c-6992c30695c8.jpg,10
329,"NBA [NBA]LAL LAKERS 폴라플리스 리버서블 후드점퍼(N213JP111P)",39000,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a572/a96edb9bb2e31cd9a0595963912cd3880a84e7db04d0eccf03ebce581c78.jpg,10
330,"엘투에스 노르딕자켓",23900,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d2cf/6aa071e3a52f611e6d5467798efd15c931435e897c923108c9ef319776a4.jpg,10
331,"나이키 NSW 클럽 플리스 후드 집업 블랙 여자 트레이닝 기모 풀집 자켓 점퍼 후디 DC7118-010",51800,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/77ea/ab595dfe95821ec9998ef4fd2b627b1f552c7090d492728366483a8a8283.jpg,10
332,"ROKA 보아털 전체 자수 플리스",34000,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7ab8/ce805fe43fb66ef0e764b457c2c08faea29ffa9a7bc605a7ec0a3e029915.jpg,10
333,"네스파 르메레드 빅사이즈 커플 후드 집업 SHN_0012",32810,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/17/17/8/66cd5296-5d64-49bf-828f-90ed263eb8a6.jpg,10
334,"해병대 팔각모해골 특양면 후드집업 티셔츠",38000,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f2cf/ac7702790b8f0ce337114ca015602b21db2b65c6e523bafd612a9ca68a65.jpg,10
335,"세븐퍼센트 남여공용 레트로 클래식 집업 빅사이즈 후리스",14220,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3b6e/04eb467e14e708d1e968ef03df2e504854c7d4e6fb79ebda56646a2360c4.jpg,10
336,"매장정품 내셔널지오그래픽 남녀공용 플리스 집업 겨울 자켓 캐주얼 점퍼",109000,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ad51/5ccb81a5b9b6b734501844bda9dcdf7467fbdfcaf52ac39877a0b08c1791.png,10
337,"아디다스 마샬아츠 트랙탑 져지 자켓 TTR10030M 남여공용 + 마스크",69000,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8b69/679145784e3472036b213564888e680c89e057c4fe2fab43b132b5afb7a1.jpg,10
338,"간절기 후드티 남자 겨울 털 후드집업 검정 자켓 남녀공용 회색 기모 여자",12060,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f1b3/e6f520ecbbb26f15f3b60a655e40e4aef1793579339015c71fa944dec84c.png,10
339,"언더아머 APAC 본디드 플리스 자켓 겨울 양털기모 집업 후리스 남녀공용 1376615",79980,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/601f/83e3f06baf0e056656d55280a4af255626f29d441e269ce2012d75c56680.jpg,10
340,"플루크 월드 슬램로고 후드집업 FZT1023",46580,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/30/18/6/440ea729-4c53-4fa9-b0db-40360bd04d10.jpg,10
341,"뉴발란스 UNI 에센셜 트랙 자켓 NBMDC21043",59900,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/3r9rthxy/d01534f1cea7481d9ca29fdbdc598419.jpg,10
342,"[스파이더 본사] 여성 슬림 조거 팬츠 SPHPCNFP351WLGR",69700,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/277a/de55f74470aa7ce754ed9c3345007761888ddffba4c3a5f5583f12615c0c.jpg,10
343,"빌락트 마약기모 베이직 무지 후드 집업",26290,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/0f5d/30d40a4dd63a3327d983f28446658c98df4769fc5c7eaa59b1056eba4906.jpg,10
