no, title, price, delivery_price, main_img, category 
61,"클로니아 데님 진마니아 후드티 TG-537",23800,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f906/c446026df578b22f42ef0750f09e1e38ab44bc18f9c17f814e4ede867341.jpg,6
62,"더림 농구 맨투맨 오버핏 라운드 긴팔 기모 티셔츠 단체 남녀공용",32500,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f286/2c98e3b2bc5df7081785db1be5f6f209b7e7173161b58b469156890c588a.jpg,6
63,"랜프리 OBJECT 맨투맨",7060,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ybtsgni5/d3d53b8dfe194f4d9bb057e1be72be31.jpg,6
64,"벤힛 NOTOVER 세미 오버핏 특양면 맨투맨",17220,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/18/11/7/f5157874-431c-4b87-8351-b2375f0693a1.jpg,6
65,"남녀공용 내셔널 라운드 맨투맨 티셔츠",39000,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/97c1/ea682748a9ececdec4e7e5ad7815a62ef07b1a4760e35eddc88cb5f62f20.jpg,6
66,"프리코드 남녀공용 오버핏 라인 맨투맨 빅사이즈 운동복 트레이닝복 상의",16000,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ad47/c47d2a17aafa5abb97b8f8597de5ab5edd85f00acc4c3b04e846c1d0bfef.jpg,6
67,"더팀 빅사이즈 USA 기모 후드티",26323,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/539265652123773-3a298305-bb02-4f0d-b546-7169213f01dc.jpg,6
68,"행텐 [행텐] 공용 휴 스포티 후드 티셔츠_053(10380-031-631-11)",15950,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a72d/5505cc03ef17360a3c98d1ac558f41f44d60dde67166637a8f1e06c56611.jpg,6
69,"벤힛 빈티지 세미 오버핏 특양면 맨투맨",21800,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/10658587796395580-cf82770e-ba66-4874-b1c7-7504cb92bf1c.jpg,6
70,"지프 불광점(50%할인) 남여공용 JEEP@ 로고가 @큰 *후드*스타일*티셔츠 JM3THU001",39500,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/65e0/3ea65eedcbb4e89af31fb2e5f79ce6b9fca851cb720750e58ba8d035687e.jpg,6
71,"미항공 우주국 나사 후드 티",29000,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0898/fce999205d302ec6ce270f9acf3330db38cd7ddd6bf9eb6ce07233a0196f.png,6
72,"엘라모 기모H 무지 후드티",26410,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/25/1/0/1824ea7e-7459-42b8-94bb-bb08eff776b6.jpg,6
73,"문컬렉션 특양 맨투맨 데일리 남녀공용 커플 티셔츠 15종",15900,3000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/db4a/54f5c7fb678e887bb3d5bc1e101cd8926ae5aba5ebaece1daa167b12d13d.jpg,6
74,"[국내매장정품] LEE 상의 빅트위치 루즈핏 후드 네이비",66370,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1524/4f6d0c3f205dfa6dc5ebbefb0e4271e15b2bcbffc22bba0996bca29a03d3.png,6
75,"제이비패션 곰인형 기모맨투맨",21900,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qlostrps/05ddc2e8ddf1421bb8e82476cbcc94c1.jpg,6
