product_no, name 
241,90
241,95
241,100
241,105
242,S(65)
242,M(70)
242,L(75)
244,25
244,26
244,27
244,28
244,29
244,30
244,32
244,34
246,M
246,L
246,XL
246,2XL
247,L
247,M
247,S
247,XL
249,XL(2)
249,FREE(1)
250,M(27~30)
250,L(31~32)
250,XL(33~34)
251,1(M-L)
251,2(XL-2XL)
251,3(2XL-3XL)
252,M
252,L
252,XL
254,M
254,L
254,XL
254,2XL
254,3XL
254,4XL
255,M
255,L
255,XL
255,2XL
256,1
256,2
256,3
256,4
257,L
257,M
257,S
257,XS
258,XL(26~28)
258,3XL(30~32)
258,5XL(34~36)
258,7XL(38~40)
258,9XL(42~44)
260,L
260,XL
260,2XL
260,3XL
260,4XL
261,S-M(Free)
261,L-XL(1)
262,M
262,L
262,XL
262,2XL
263,1
263,2
263,3
263,4
263,5
265,XL
265,2XL
265,3XL
265,4XL
265,5XL
266,S
266,M
266,L
266,XL
266,XXL
268,1(26~28)
268,2(30~32)
268,3
268,4
268,5
269,67
269,70
269,76
270,M
270,L
270,XL
270,2XL
270,3XL
270,4XL
271,M
271,L
271,XL
271,2XL
272,1(M~L)
272,2(L~XL)
272,3(2XL~3XL)
272,4(3XL~4XL)
273,S
273,M
273,L
273,XL
273,2XL
275,S
275,M
275,L
275,XL
275,2XL
276,S
276,M
276,L
277,L
277,XL
278,S
278,M
278,L
278,XL
278,2XL
279,S
279,M
279,L
279,XL
280,2XL(110)
280,3XL(115)
280,L(100)
280,M(95)
280,S(90)
280,XL(105)
280,XS(85)
281,L
281,M
281,XL
282,S
282,M
282,L
282,XL
282,2XL
283,M
283,L
283,XL
284,1
284,2
284,3
284,4
285,S
285,M
285,L
285,XL
285,2XL
286,M
286,L
286,XL
287,S-M
287,L-XL
287,2XL
287,L~XL(32~36)
287,S~M(28~32)
288,2XL(100)
288,S(80)
288,XL(95)
289,M
289,L
289,XL
289,2XL
289,3XL
289,4XL
290,L
290,XL
291,선택완료
291,옵션선택
294,55/25-26
294,66/27-28
294,77/29-30
294,88/31-32
294,99/33-34
295,M
295,L
295,XL
296,M
296,L
296,XL
296,XXL
296,3XL
296,4XL
296,5XL
297,M
297,L
297,XL
297,2XL
