product_no, name 
1,M(95)
1,L(100)
1,XL(105)
2,M
2,L
2,XL
2,2XL
2,3XL
3,1
3,2
3,3
3,4
4,S(98)
4,M(104)
4,L(110)
4,XL(116)
4,2XL(122)
4,3XL(128)
6,S
6,M
6,L
6,XL
6,XXL
8,M
8,L
8,XL
9,블랙 마린티2XL(105)
9,블랙 마린티3XL(110)
9,블랙 마린티L(95)
9,블랙 마린티M(90)
9,블랙 마린티S(85)
9,블랙 마린티XL(100)
9,블랙 반바지 2XL
9,블랙 반바지 3XL
9,블랙 반바지 L
9,블랙 반바지 M
9,블랙 반바지 S
9,블랙 반바지 XL
9,블루 리본마린캡
10,S
10,M
10,L
10,XL
10,2XL
15,S
15,M
15,L
15,XL
15,XXL
16,090
16,095
16,100
16,105
17,DNV(다크네이비)/100(L)
17,DNV(다크네이비)/105(XL)
17,DNV(다크네이비)/110(XXL)
17,DNV(다크네이비)/95(M)
17,IV(아이보리)/100(L)
17,IV(아이보리)/105(XL)
17,IV(아이보리)/110(XXL)
17,IV(아이보리)/90(S)
17,IV(아이보리)/95(M)
17,LBR(라이트브라운)/100(L)
17,LBR(라이트브라운)/105(XL)
17,LBR(라이트브라운)/95(M)
17,LGR(라이트그레이)/100(L)
17,LGR(라이트그레이)/105(XL)
17,LGR(라이트그레이)/110(XXL)
17,LGR(라이트그레이)/90(S)
17,LGR(라이트그레이)/95(M)
17,SBL(스카이블루)/105(XL)
17,SBL(스카이블루)/95(M)
17,TGN(터키그린)/100(L)
17,TGN(터키그린)/105(XL)
17,TGN(터키그린)/110(XXL)
17,TGN(터키그린)/95(M)
17,베이지(BE)/100(L)
17,베이지(BE)/105(XL)
17,베이지(BE)/110(XXL)
17,베이지(BE)/90(S)
17,베이지(BE)/95(M)
17,블랙(BK)/100(L)
17,블랙(BK)/105(XL)
17,블랙(BK)/110(XXL)
17,블랙(BK)/90(S)
17,블랙(BK)/95(M)
19,S
19,S(90)
19,M
19,M(95)
19,L
19,L(100)
19,XL
19,XL(105)
19,2XL
19,2XL(110)
19,3XL
19,3XL(115)
20,S
20,M
20,L
20,XL(LL)
20,2XL(3L)
20,SS
22,XS
22,S
22,M
22,L
22,XL
22,2XL
22,3XL
23,M
23,L
23,XL
23,XXL
24,85
24,90
24,95
24,100
24,105
24,110
25,S
25,M
25,L
25,XL
25,2XL
26,085
26,090
26,095
26,100
26,105
26,110
27,M
27,L
27,XL
27,2XL
29,M
29,L
29,XL
29,2XL
30,색상:핑크|사이즈:130
30,색상:핑크|사이즈:150
30,색상:핑크|사이즈:160
32,M
32,L
32,XL
32,2XL
33,90
33,95
33,100
33,105
33,110
33,115
35,S
35,M
35,L
35,XL
35,XXL
36,*100*
36,*105*
36,*95*
37,M
37,L
37,XL
37,2XL
39,085
39,090
39,095
39,100
39,105
39,110
40,L
40,S
40,기모L
40,기모M
40,기모S
41,085
41,090
41,095
41,100
41,105
41,110
42,1
42,2
43,멜란지그레이(MG)/L(100)
43,멜란지그레이(MG)/M(95)
43,멜란지그레이(MG)/S(90)
43,멜란지그레이(MG)/XL(105)
43,블랙(BK)/L(100)
43,블랙(BK)/M(95)
43,블랙(BK)/S(90)
43,블랙(BK)/XL(105)
44,M(95~100)
44,L(100~105)
44,XL(105~110)
45,3L
45,L
45,LL
45,M
45,S
47,바람막이 블루 2XL
47,바람막이 블루 3XL
47,바람막이 블루 L
47,바람막이 블루 M
47,바람막이 블루 S
47,바람막이 블루 XL
48,85
48,90
48,95
48,100
48,105
48,110
48,115
48,120
48,125
48,130
49,M
49,L
49,XL
50,S
50,M
50,L
50,XL
50,XXL
51,S
51,M
51,L
51,XL
51,2XL
51,3XL
51,4XL
52,85
52,90
52,95
52,100
52,105
52,110
53,M
53,L
53,XL
53,2XL
54,M
54,L
54,XL
54,2XL
55,85
55,90
55,95
55,100
55,105
55,110
55,115
56,2XL
56,3XL
56,L
56,M
56,S
56,XL
57,095
57,100
57,105
58,S
58,M
58,L
58,XL
58,XXL
59,S
59,M
59,L
59,XL
59,XXL
60,90
60,95
60,100
