no, title, price, delivery_price, main_img, category 
121,"후아유 후아유 공용 스티브 스트라이프 셔츠 / _A WHYSD3812U",27800,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a2ff/083fa7fd0137c7fc6dd2d109e1bbbb75e72689c1c13b62e5b142bb93ce7b.jpg,7
122,"타미힐피거 잉글랜드 코튼 옥스포드 셔츠 클래식핏 3종 택1 TH113",64310,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/87e4/19c693e4dbbef05173f086d1e269a89134f2842b2fb4a7b01f7725f9d52d.jpg,7
123,"[벨로룩스]나탈레기모체크셔츠",39800,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a41f/fc97409c9e82cc34b9961b8282a47d28102f03f2726bb59547ab99e8795d.jpg,7
124,"흄 남 플란넬 체크 셔츠 FHOFCSL102P",11400,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1519/2d0bcba658087f15db9a1693c7174ec79ac4ef105aec8aea45d3019f5a81.jpg,7
125,"체이스컬트 2Color 여자 볼륨소매 블라우스",23150,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e79f/e7afb556271eae781df05f5cf3bbe1c48ab4bd84296b6143535a99cbcfae.jpg,7
126,"앵무새 블랙 셔츠 남방반티 상하세트 하와이안셔츠 알로하남방 반티사이트 반티추천 ST729",16500,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c205/e728eba8285bf3ac47b1d23a0bac5eba070d796260ee4c48f1ba9188423a.jpg,7
127,"심플 코듀로이 빅 포켓 데일리 베이직 루즈핏 셔츠",27840,3000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/tiiljiph/d78198a3aa2946dfa7d98a753b3e757f.jpg,7
128,"[탑텐] 여성 코튼 플란넬 기본 카라 긴팔 셔츠_MSZ4WC2901",5900,3000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2474/b5874f03fb754c477c61c4ac1901aa5cbeafc3dc41abb3afb9ab53b1d5f3.jpg,7
129,"베러바이즈 루즈핏 남여공용 코듀로이 봄 간절기 긴팔 상의 셔츠",22100,3000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e5d6/0ace0e3c73c030604a7c7d5d83eddca29039a86a2345f3f8e01a34dcfb94.jpg,7
130,"제너럴아이디어 / GNRL 클래식 셔츠 [화이트] / WBC1L03509",22500,3000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/46e0/20e5195e1e4fdb4b2f00c10717a113639ee8c209fb3b3831dd0ec7c2731b.jpg,7
