no, title, price, delivery_price, category 
1,"남성 여성 이너웨어 민소매 빈티지 롱나시티 스트릿 패션",17900,3000,5
2,"더재클린 남녀공용 라코스트코 페이크 프린트 반팔 티셔츠",15000,3000,5
3,"티데일리 남녀공용 스페이스 17수 오버핏 반팔 라운드 티셔츠 반소매",10710,3000,5
4,"칼하트 칼하트 (100374) 슬리브리스 포켓 나시티 BLACK",31940,3000,5
5,"DC9169-010",60000,3000,5
6,"(백화점 정품)8SECONDS 기모 그래픽 스웨트셔츠 아이보리 (323X41LY20)",39000,3000,5
7,"[지프] NC09 등판 아이코닉독수리 기모 맨투맨 JM4TSU866 (9216406)",29700,3000,5
8,"빌락트 빌락트스튜디오 VIVA 반팔 티셔츠",6520,3000,5
9,"스파오 쿨테크 베이직 폴로 반팔 티셔츠_SPHWA24C15-T",5500,3000,5
10,"뉴발란스 앞판 로고 기본 반팔티 NBNEDB1033",34280,3000,5
11,"지프 <NC서면점 JEEP> 아메리칸 레전드 프린팅 반팔T 블랙 봄여름반팔 남녀공용반팔 커플반팔",18500,3000,5
12,"엔젤 마이클 리갈제라늄",12000,3000,5
13,"잠뱅이 공용 레터링 특양면 기모 맨투맨 블랙 AJ4WTS41-BK",8900,3000,5
14,"폴햄 [폴햄] 남여공용 슬럽 크루넥 반팔 티셔츠_PHA2TR3830",5900,3000,5
15,"[리바이스]리바이스 남여공용 하우스마크 배트윙 반팔 티셔츠 NC순천점",29000,3000,5
16,"[인터크루]NC순천 봄 신상~ 화려한 키치 프린팅 오버핏 맨투맨",19000,3000,5
17,"예스플러스 _국내산 베이직 고밀도 순면 긴팔면티 3P_손목시보리",22900,3000,5
18,"벤힛 블랙쉽 오버핏 반팔티셔츠",14690,3000,5
19,"티데일리 남녀공용 하와이 오버핏 반팔 라운드넥 티셔츠",16110,3000,5
20,"2023년 NEW KOREA 남여공용 대한민국 코리아 메탈릭 골드 면 쿨론 반팔티",11800,3000,5
21,"스파오 레이어드용 롱기장 반팔티 2p",25900,3000,5
22,"지프 남여공용 페인팅프린트 스몰지프 반팔 티셔츠 JM6TSU392",19800,3000,5
