title, price, delivery_price, img, category 
"캐치웰 텀블러 다용도 무선 핸디청소기 THC1000, 아이언그레이",39900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9090725714514447-71c3208e-4f54-4612-8fb2-4cdbf5fb5c72.jpg,1
"SK매직 NEW 전면배터리 가스레인지 2구 자가설치, GRA841SR(실버), LNG",149000,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2674901673501-448825f3-da4f-4f55-889b-611f914a1b69.jpg,1
"크리스탈클라우드 전동 눈썹정리기 CC-609, 화이트",24800,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/352428504893603-5e7b11f2-2087-44a1-8e6c-8de7916fdd32.jpg,1
"로지텍 MK295 무소음 무선 키보드 마우스세트, 화이트, 단품",38160,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/11/14/6/592e3899-a969-47a4-909d-2e723b89fa4c.jpg,1
"오랄비 전동칫솔 바이탈리티 초미세모 D100, D100블랙",49900,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f845/e2a659c6852e03497f8c999e4810d90f77949d64f6202aa525cd94555104.jpg,1
"Apple 애플펜슬 2세대 MU8F2KH/A, 1개",182400,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1858686644009-f408971b-9ed0-4671-9621-998c57a9a429.bin,1
"홈플래닛 무선 핸디 청소기, 화이트, WL05, WL05A",37920,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3674461681053618-daf85571-bdab-42bd-846b-2c2d06aac56b.jpg,1
"쿠첸 브레인 IH 전기압력밥솥 6인용, CRH-TWK0670W",217500,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8772924703019-204c0f8f-7a61-4796-a1f3-4e0141f4e618.jpg,1
"샤오미 헤어드라이어 CMJ02ZHM, 혼합색상",42170,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9008056096379586-2d2ae420-877d-45c6-818c-60e88f02c505.jpg,1
"Apple 정품 아이폰 맥세이프형 파인우븐 카드지갑, 블랙, 1개",73100,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/09/19/17/1/92ebc85b-93ee-4406-9991-525b40d44f90.jpg,1
