no, title, price, delivery_price, category 
419,"LG 50UH6070 50UH6080 50UH5010 50UH6010 50UH5500 50UH5530 5800-W50002-2P00 호환용 TV백라이트",45000,3000,12
420,"더함 FHD LED 구글 OS TV, 81cm (32인치), 스탠드형, NA321FHD, 고객직접설치",188000,3000,12
421,"더함 4K UHD LED 안드로이드 스마트 TV, 108cm(43인치), TA434-AVN22CB, 스탠드형, 고객직접설치",309000,3000,12
422,"LG전자 4K UHD LED TV, 189cm(75인치), 75UR642S0NC, 벽걸이형, 방문설치",1230000,3000,12
423,"TCL 안드로이드11 4K UHD TV, 110cm(43인치), 43P735, 스탠드형, 고객직접설치",339000,3000,12
424,"더함 FHD QLED 구글 OS TV, 81cm (32인치), 스탠드형, NA321QLED, 고객직접설치",208000,3000,12
425,"더함 FHD LED 구글 OS TV, 101cm (40인치), 스탠드형, NA401FHD, 고객직접설치",238000,3000,12
426,"LG전자 울트라HD TV, 107cm(43인치), 43UR642S0NC, 스탠드형, 방문설치",499000,3000,12
427,"삼성전자 Crystal UHD TV UC7000, 138cm(55인치), KU55UC7000FXKR, 스탠드형, 방문설치",721920,3000,12
428,"더함 FHD LED 구글 OS TV, 109cm (43인치), 스탠드형, NA431FHD, 고객직접설치",262980,3000,12
429,"TCL 안드로이드11 4K UHD TV, 128cm(50인치), 50P735, 스탠드형, 자가설치",399000,3000,12
430,"라익미 스마트 32인치 스탠라익미 트리플블랙 무빙TV 에너지소비효율 1등급 8년 AS 보장, 택배/자가설치, 스마트 32 트리플블랙+무빙스탠드바이미 블랙",278000,3000,12
431,"더함 FHD QLED 구글 OS TV, 101cm (40인치), 스탠드형, NA401QLED, 고객직접설치",269000,3000,12
432,"프리즘 FHD LED TV, 101.6cm(40인치), PT400FD, 스탠드형, 자가설치",199000,3000,12
433,"LG전자 울트라HD TV, 107cm(43인치), 43UR642S0NC, 벽걸이형, 방문설치",499000,3000,12
434,"프리즘 4K UHD LED TV 스탠드형, 127cm(50인치), PT500UD, 고객직접설치",327000,3000,12
435,"시티브 HD TV, 80cm, CP3201HD NEW, 스탠드형, 고객직접설치",106200,3000,12
436,"삼성전자 4K UHD TV, 214cm(85인치), KU85UA7000FXKR, 벽걸이형, 방문설치",1890000,3000,12
437,"더함 4K UHD QLED 구글 OS TV, 109cm(43인치), UA431QLED, 스탠드형, 고객직접설치",358000,3000,12
438,"샤오미 안드로이드11 4K UHD LED A Pro TV, L65M8-A2KR, 방문설치, 스탠드형, 165cm/65인치",499000,3000,12
439,"PRISM 4K UHD TV, 165.1cm(65인치), PT650UD, 벽걸이형, 방문설치",507000,3000,12
