no, title, price, delivery_price, category 
659,"LG 2021 울트라PC 14, 화이트, 128GB, 4GB, WIN11 Home, 14U30P-LE12K",350000,3000,16
660,"Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 256GB, 8GB, A2337",1216250,3000,16
661,"디지탈계산기 디지털 계산기 DT-522 회계용 사무용 전자계산기, 상품선택, 1개",9800,3000,16
662,"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0039KR",549000,3000,16
663,"LG전자 2023 울트라PC 15, 화이트, 256GB, 8GB, WIN11 Home, 15U40R-GR56K",644260,3000,16
664,"에이수스 Vivobook Go 15, 쿨 실버, 256GB, 16GB, Free DOS, E1504FA-BQ494",439000,3000,16
665,"Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 256GB, 16GB, Z124000BL",1460800,3000,16
666,"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0036KR",589000,3000,16
667,"레노버 2023 V15 G4 AMN 15.6, ARCTIC GREY, 256GB, 8GB, Free DOS, 82YU000BKR",359000,3000,16
668,"레노버 2022 ThinkPad E15 G4 15.6, Black, 256GB, 8GB, Free DOS, 21ED004EKD",449000,3000,16
669,"레노버 2022 아이디어패드 슬림 1 15AMN7 15.6, Cloud Grey (82VG), 256GB, 8GB, Free DOS, 82VG002EKR",319000,3000,16
670,"LG전자 2023 그램15, 스노우 화이트, 256GB, 16GB, WIN11 Home, 15Z90RU-GAOWK",1380660,3000,16
671,"Apple 2023 맥 미니 M2, M2 8코어, 10코어, 256GB, 8GB",752250,3000,16
672,"HP 2023 노트북 15, Jet Black, 256GB, 8GB, WIN11 Home, 15-fc0073AU",497930,3000,16
673,"레노버 아이디어패드 슬림 5 16IRL 16, Cloud Grey, 512GB, 16GB, Free DOS, 82XF001RKR",819000,3000,16
674,"Apple 2022 맥북 에어 13 M2, 미드나이트, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글, MLY33KH/A",1415100,3000,16
675,"LG 2023 그램16, 스노우 화이트, 256GB, 16GB, WIN11 Home, 16Z90RU-GAOWK",1538000,3000,16
676,"A급중고 삼성 NT371B5L I5-6300HQ/16G/SSD256G/HD530/15.6/WIN10 풀스펙 노트북",254550,3000,16
677,"Apple 2022 맥북 에어 13 M2, 스페이스그레이, M2 8코어, GPU 8코어, 256GB, 16GB, 30W, 한글, Z15S00035",1675800,3000,16
678,"레노버 2023 아이디어패드 슬림 3 15IAH8, ARCTIC GREY, 512GB, 16GB, Free DOS, 83ER0060KR",589000,3000,16
679,"레노버 2023 아이디어패드 슬림 5 16ABR8 16, CLOUD GREY, 512GB, 16GB, Free DOS, 82XG002MKR",767260,3000,16
680,"삼성 노트북3 NT371B5J I5-4310M/16G/SSD512G/HD4600/15.6/WIN10, WIN10 Pro, 16GB, 512GB, 코어i5, 블랙",298000,3000,16
681,"HP 2023 노트북 255 G10 15.6, 실버, 256GB, 8GB, Free DOS, 8L8J5PA",439000,3000,16
682,"레노버 2022 ThinkBook 15 G4 ABA 15.6, 미네랄 그레이, 256GB, 8GB, Free DOS, 21DL0000KR",449000,3000,16
683,"HP 2023 노트북 15, Natural Silver, 512GB, 16GB, WIN11 Home, 15-fd0096tu",778990,3000,16
684,"베이직스 2022 베이직북 14 3세대, White, 256GB, 8GB, WIN11 Pro, BB1422SS",398000,3000,16
685,"레노버 아이디어패드 슬림 3 14IAH8, ABYSS BLUE, 256GB, 16GB, Free DOS, 83EQ002MKR",469000,3000,16
686,"삼성전자 갤럭시북2/3 15.6 재택근무 학습용 노트북 한컴오피스팩 및 국내 정품 윈도우 패키지 동봉, NT550-I5, WIN11 Home, 16GB, 250GB, 코어i5, 그라파이트",855940,3000,16
687,"LG 울트라PC 15U560 6세대 코어i5 8G SSD128GB Win10 화이트, WIN10 Home, 8GB, 128GB",269000,3000,16
688,"삼성전자 2021 노트북 플러스2 15.6, 화이트, 셀러론, 128GB, 4GB, WIN11 Pro, NT550XDA-K14A",489000,3000,16
689,"애플 아이패드 6세대 미니 WIFI 64GB, Purple",617900,3000,16
690,"HP 2023 노트북 15, Jet Black, 256GB, 8GB, Free DOS, HP 15-fd0102TU",854950,3000,16
691,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정, 그라파이트, 펜티엄, 256GB, 8GB, Windows11Pro",569000,3000,16
692,"Apple 2022 맥북 에어 13 M2, 실버, M2 8코어, GPU 10코어, 512GB, 8GB, 35W 듀얼, 한글, MLY03KH/A",1751200,3000,16
693,"LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 628GB, 코어i5, 화이트",399000,3000,16
694,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정, 실버, 펜티엄, 256GB, 8GB, Windows11Pro",569000,3000,16
695,"A급중고 레티튜드 3340 i3-4010U/8G/SSD128G/HD4400/13.3/WIN10, WIN10 Pro, 8GB, 128GB, 코어i3, 블랙",98000,3000,16
696,"HP 엔비 x360 15.6, Natural Silver Aluminum, 512GB, 16GB, WIN11 Home, 15-ew0053TU",949000,3000,16
697,"LG 울트라PC 15U560 6세대 i5 8G SSD Win10, 8GB, SSD 128, 포함",269000,3000,16
698,"레노버 아이디어패드 슬림 1 15IJL7 15.6, SAND, 128GB, 4GB, WIN11 Home, 82LX0085KR",339000,3000,16
699,"레노버 2022 V15 G3 IAP 15.6, Iron Gray, 256GB, 8GB, Free DOS, 82TT007PKR",529000,3000,16
700,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 학생용 인강용 사무용 싼노트북 노트북추천 한컴오피스 증정, 그라파이트(D-K24AG), 펜티엄, 128GB, 8GB, WIN11 Pro",539000,3000,16
701,"삼성전자 갤럭시북3 15.6인치 인텔 13세대 I5 인텔 Iris Xe 그래픽스 한컴오피스팩 무선마우스 증정, T-A51AG, WIN11 Home, 16GB, 500GB, 코어i5, 그라파이트",1149000,3000,16
702,"LG그램 그램15 15Z960 (i5-6200U/i7-6500U/Win10 Pro) 15인치 노트북 [디에스컴], 화이트, 15Z960/15Z970, 코어i5, 256GB, 8GB, WIN10 Pro",417130,3000,16
703,"애플 아이패드 6세대 미니 WIFI 64GB, Starlight",617900,3000,16
704,"Apple 2023 맥 미니 M2, M2 Pro 10코어, 16코어, 512GB, 16GB",1790000,3000,16
705,"삼성전자 2021 노트북 플러스2 15.6, 그라파이트, NT550XED-K24A, 펜티엄, 128GB, 8GB, WIN11 Pro",539000,3000,16
706,"A급중고 삼성전자 노트북9 metal 초경량 NT901X5J인텔 7세대 i5 메모리 8GB 초고속 SSD 장착 15.6인치 FHD 윈도우10 설치, 미네랄 화이트, NT901X5J, 코어i5, 256GB, WIN10 Pro",349000,3000,16
707,"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6, ARCTIC GREY, 256GB, 16GB, WIN11 Home, 82XM0039KR",669870,3000,16
708,"델 2023 인스피론 15 3535, 카본 블랙, 512GB, 8GB, WIN11 Home, DN3535-W003KR",549000,3000,16
709,"Apple 2022 맥북 에어 13 M2, 스페이스그레이, M2 8코어, GPU 8코어, 256GB, 8GB, 30W, 한글, MLXW3KH/A",1454850,3000,16
710,"Apple 2023 맥북 에어 15, 스페이스 그레이, M2 8코어, 10코어 GPU, 256GB, 8GB, 35W 듀얼, 한글",1840000,3000,16
711,"LG 가성비 좋은 사무용 노트북, S550, WIN10, 8GB, 240GB, 코어i5, 블랙",149000,3000,16
712,"레노버 2023 아이디어패드 슬림 3 16ABR8 16, Arctic Grey (82XR), 256GB, 16GB, Free DOS, 82XR000HKR",529000,3000,16
713,"LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10, WIN10 Pro, 256GB, 화이트",549000,3000,16
714,"델 2023 인스피론 15 3525, 카본 블랙, 512GB, 16GB, WIN11 Home, DN3525-W002KR",599000,3000,16
715,"삼성전자 2021 노트북 플러스2 15.6, 실버(D-K24AS), NT550XED-K24A, 펜티엄, 128GB, 16GB, WIN11 Pro",599000,3000,16
716,"삼성전자 갤럭시북3 15.6인치 인텔 13세대 I5 인텔 Iris Xe 그래픽스 한컴오피스팩 무선마우스 증정, T-A51AG, WIN11 Home, 16GB, 1TB, 코어i5, 그라파이트",1199000,3000,16
717,"Apple 2023 맥북 에어 15, 미드나이트, M2 8코어, 10코어 GPU, 256GB, 8GB, 35W 듀얼, 한글",1738800,3000,16
718,"삼성전자 2021 노트북 플러스2 15.6, 실버(D-K24AS), NT550XED-K24A, 펜티엄, 256GB, 16GB, WIN11 Pro",629000,3000,16
