title, price, delivery_price, img, category 
"아이코모스 퀵차지3.0 듀얼 릴타입 고속 차량용 충전기 (C타입+C타입) 블랙 RCC03-05 C타입+C타입",19,650,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/883191885903955-7918a461-575a-4f7f-bcb1-79ddfea41637.jpg,1
"신지모루 맥세이프 냉각쿨링 펠티어 소자 M 쿨러 차량용 고속 무선충전 거치대 M-Cooler, 블랙",36,150,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4795796093504985-d01d3375-cfb4-4ede-a1c1-ec2fcc2aef41.jpg,1
"카카오프렌즈 피규어 차량 주차번호판 휴대폰번호 표시판, 춘식이, 춘식이, 1개",13,490,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6fea/cab43b122029e0470858226b1394b6efed3f16f744b68ad358f84b801417.jpg,1
"프리스비 맥세이프 차량용 무선충전 거치대 I4BAPAI029901, 블랙, 1개",39,020,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1136462171478505-d5dfc390-a7d4-4275-ba55-1eb478715d71.jpg,1
"오주주 모어무드 맥세이프 차량용 고속 무선충전 거치대, 스페이스 그레이, OJU-O011",46,900,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/3dtatvlm/653e5f6f0b154da89feb1ad8b5fcfa33.jpg,1
"메이튼 자동차 HUD 헤드업디스플레이 개선형 A100S, HUD A100S",25,900,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/10/12/2/473e3257-d862-4844-b11e-9649769a8110.jpg,1
"파츠팜 차량용 라이트팜 HID D1S 헤드램프 6000k, 혼합색상, 2개",36,000,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5639133766418646-e381d6c2-5611-4097-b1a0-1e6489c1cb07.jpg,1
"블랙팟 가려보게 햇빛가리개 겸용 차량커튼, 1세트, 블랙",20,670,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4282185980749524-96c1140b-54a2-4e7e-8f6d-fb565f92a815.jpg,1
"메이튼 리얼 투톤 자동차 핸들커버, 블랙 + 새들브라운",17,750,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/2u3e3fj7/16319ef4a3d843998fd798c81b101776.jpg,1
"메이튼 식빵등 DIY LED바 면발광 LED 트렁크등 5M 웜화이트 전차종, 1p",17,150,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1806049929210660-a013c579-e86d-47df-9b76-76f702049f3d.jpg,1
"이지워시 스노우 폼건 2L, 1개",13,150,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/04/11/0/9401610d-39ae-4c6c-8b98-ed35c932f82c.jpg,1
"메이튼 차량용 무선 안드로이드 오토프로 스마트 드라이빙 내비게이션, ZB001-AA, 0GB",79,000,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/274887831659007-9eccb47a-3a0e-4672-a623-a826bd415707.jpg,1
