product_no, img 
1439,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/10/06/15/8/9a39504c-00b0-409b-b129-ebb36a7e12e8.jpg
1440,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fd54/0d9383244d536d59c62532bafac8c12e99d24860a535a5d4586a32f52de0.jpg
1441,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/if5hiovu/0ff0fd0964c54d6ab985ca6ff044e119.jpg
1442,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/cpkmj0d9/63f306c89db1407ba35f6ed888734e5f.jpg
1443,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3724047879319299-1bbf910c-2ce6-47c8-af64-c316ac01c590.jpg
1444,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2874003526831708-219f00a3-cfd2-430a-8ef8-ef59655bb145.jpg
1445,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1776255152038948-fd4cb992-43a0-4112-b85a-14c40fda7582.jpg
1446,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/548636136521874-b92d5e77-6612-4573-a694-8a396c04fae5.jpg
1447,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2961091144854-2df2563d-3612-4c08-8c8b-c87bc61aec2e.jpg
1448,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2466/5ab731f700aab725e28b5f1aa5a9218a22b5d1f1bfe91ed507f28bbce2b9.jpg
1449,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/04/22/3223077197/5756e786-9c94-404b-ba2c-0423cf5d5068.jpg
1450,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/c6949988-d17c-4eef-8b5c-56ea2ac2654a5907033678305169184.png
1451,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/03/15/4/ff946628-593c-4741-98ad-f70bc49d5981.jpg
1452,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/25/18/4/dc7919d5-68ca-496b-9d1b-2a90f21120ca.jpg
1453,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5375964182037337-448a8dce-ff26-47f9-8651-4fa57b230068.jpg
1454,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fc45/cbdab00dc7af932e6b0b55abdb18cda45ad2b63308a2e2513d3859465d8b.jpg
1455,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/02/3063147434/e0a9254a-66e3-40c0-aeae-dcaea84f80ac.jpg
1456,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4006482343256780-61bb3be9-8e4c-4d17-aa2f-35c35e4aaab6.jpg
1457,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/02/3070051893/34f944de-77fd-4bc6-9ced-940bbbe67e88.jpg
1458,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/02/27/10/2/1feb7de1-a709-4822-a434-2ad4c8f78130.jpg
1459,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/760018235791936-a35205fd-152a-4513-b9aa-7cb64320ca84.jpg
1460,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ggmed5gw/148018320f3f4fffaa519156e1dd2786.jpg
1461,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/06/05/3000206357/560604e4-3242-410a-bebb-a55122c90be6.jpg
1462,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6842839448130423-248afd95-e12a-4fcf-8b99-0c9356113893.png
1463,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/21/11/6/ea13222b-d614-443e-8889-561231593db9.jpg
1464,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0cad/81ae61be29aff97cc914bcc91493a5aeb11af630e5c8eca525521d65f04f.png
1465,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1578155197768886-f81eaf96-0761-4c5a-861f-439504e740cb.jpg
1466,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/398efd39-5383-4e58-a64b-b721fbb2cff655588853205782000.png
1467,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4388950057501930-5b35c436-4471-4c91-92e6-1d928de30fcf.png
1468,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/06/11/3000156097/1b5f9425-16ee-431a-91e3-9306d47a44eb.jpg
1469,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/02/3063191568/704313d8-98d1-4f3a-8f8f-5ab6df8ecccf.jpg
