no, title, price, delivery_price, category 
719,"ASRock DeskMini X300 120W 더큰솔루션, 상세페이지",215000,3000,17
720,"디클 일체형PC 화이트 A238N (셀러론-N5095 WIN11 60.4cm RAM 8GB NVMe 256GB), 기본형",450640,3000,17
721,"Beelink-미니 S 윈도우즈 11 인텔 11 세대 N5095 /미니 S12 프로 N100/ PC DDR4 8GB 128GB 1TB SSD 데스크탑 게임용컴퓨터, 8GB+128GB, MINI S N5095",132500,3000,17
722,"피씨오브플레이어 컴퓨터 게이밍 조립컴퓨터 올인원 풀세트 모니터포함 고사양PC 오버워치 피파, 기본형, 풀세트 01번",740050,3000,17
723,"한뼘 컴퓨터 미니 PC 사무용 가정용 주식용 소형 피씨 초미니 데스크탑 올인원 본체, 8GB, 256GB, WIN11 Pro, 한뼘컴퓨터 미니PC",249000,3000,17
724,"커넥트더닷 미니 pc 초소형 사무형 가정용 컴퓨터 피씨 데스크탑 win11 12GB 12세대 DDR5 4800MHz, 0GB x 12세대 N100/DDR5(사은품증정)",224000,3000,17
725,"GENMACHINE 라이젠5 4500U 저소음 사무용 베어본 미니PC, 베어본 본체",179000,3000,17
726,"HP ALL in One PC 24 Starry White HP 24-cb1030KR (i3-1215U WIN11 Home RAM 8GB NVMe 256GB), 기본형",601160,3000,17
727,"한손컴 미니 PC 컴퓨터 본체 사무용 초소형 소형 MINI 피씨 데스크탑 올인원 win11, 8GB, 128GB, 11세대 N5105",209000,3000,17
728,"고사양 i7 갓성비 초고속 SSD장착 디아블로4 배그 롤 피파4 오버워치 발로란트 조립 게이밍 컴퓨터 GTX1060 본체 PC",399000,3000,17
729,"서민컴퓨터 조립컴퓨터 조립PC 게이밍PC 게임용 컴퓨터 본체 롤 오버워치 피파 배그 배틀그라운드 피파 디아블로 데스크탑 고사양PC, CG2",543000,3000,17
730,"Beelink SER5 Max 라이젠 7 5800H 미니 pc 사무용 게임용 컴퓨터, AMD Processor, EU, 5800H Max 16G500G",489900,3000,17
731,"한성컴퓨터 데스크탑 화이트 TFG MX4A500 (라이젠5-5600G WIN미포함 RAM 16GB NVMe 500GB), 500GB, Free DOS",478000,3000,17
732,"서민컴퓨터 조립컴퓨터 조립PC 게이밍PC 게임용 컴퓨터 본체 롤 오버워치 피파 배그 배틀그라운드 피파 디아블로 데스크탑 고사양PC, CG1",492000,3000,17
733,"롤컴퓨터 조립컴퓨터 게이밍pc 게임용 컴퓨터본체 롤 오버워치 피파 배그 디아블로 스타크래프트 게이밍 조립PC본체 로스트아크 서든 게임 주식용 윈컴퓨터, 게임용1번",219000,3000,17
