product_no, img 
1139,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/07/16/6/3ab7d278-5d15-41da-ad17-7a183c8fc261.jpg
1140,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5420092177047003-f856ec6b-59b2-404b-802c-38b05e8b3a4c.jpg
1141,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/e4qzneby/4e15bc8a57f64d22b5c6c243d27de24b.jpg
1142,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/15/10/4/5399cbfb-869c-411c-8936-657bb1a04a8e.jpg
1143,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/648e/8f374402df639c87134f6880deb65fbda9dc8c2315bfb7aebf3a02eecd0b.png
1144,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/69fa/1e2b42d660fad354755f5fafe5548425e2f6085fb1796765b1acc73cc2ae.png
1145,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/21/10/2/afb47723-cd4e-41dc-8c26-d8098f72cb03.jpg
1146,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/8lfccngp/57103b703f474c228c0f05eb8cd53095.png
1147,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7be9/d6f43a6a61a0e65bcb3508ca068b355e549321ff1c5bba10fae99c528beb.jpg
1148,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/582a/c9381d86052e40b67c9a39aa402f6f4e815e23d64b2ca5dd30727bd523c3.jpg
1149,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/25/12/5/c20f94d0-81d4-43f0-b8f0-7c3af8a3c905.jpg
1150,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/zjsfhkr3/864b4a46c96148949ea9fe0698e77890.jpg
1151,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/15/12/7/acb037e6-73d4-4f60-a350-b95d6cd511a8.jpg
1152,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/da7a/8d8f2e9d527c03339ccd793a20f58f3c49c33ee3815ee6aca50b968c03c2.jpg
1153,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/07/18/16/1/56347045-c24e-461d-9afc-efd9dc31a6a6.jpg
1154,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a86f/244e020dac2e8b3252caab2bfa068d701c66323c99d8baafad7d29458efd.jpg
1155,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5203/ac829c7b27a2ed352638f0ead66adbe081a574bc17165af3141be9f14581.jpg
1156,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/aff2/15301f7f1dbf5442447e753d48b6e4a80012c9e85ad7f756d369249d2cc5.jpg
1157,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7f53/0f3883cd8e9491c6d348c4437469507a505c038a1d9df58d98d5c28d7c59.png
1158,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2e9c/06cfbd7525db00f79a8d150fa50a64e7e2b793e176925c9cba8916115aa6.jpg
1159,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b89a/03c36dae2a8b176b84963d51faae3135192a731fce97d5e4942fed9d260a.jpg
