title, price, delivery_price, img, category 
"기아 더뉴/올뉴 쏘렌토 MQ4 15년형~현재 순정(호환)형 하이브리드 와이퍼 전면 후면 1세트",23130,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2971852775745414-2039349c-e3d8-4a8d-a43b-48c2261323ee.jpg,1
"현대모비스 현대 순정 컬러 붓펜 페인트 + 투명 붓펜 페인트, 1세트, WC9 화이트크림, 펄색, 투명",32010,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/23/12/0/4bbeb3f2-4011-4faa-8e37-9746f8f0ad4e.jpg,1
"더클래스 셀프 세차 초보 8종 패키지, 1세트",58900,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/726629078696570-8b624b70-abbd-4e03-867b-d49ca2846a80.jpg,1
"러스티노 가죽클리너, 300ml, 1개",15810,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/258320873032873-bd277f4b-de9b-43a1-802f-a2364e6d54bf.jpg,1
"바넥스 전방FHD 후방HD 블랙박스, BX7W, 32GB",88000,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3636022995726796-7d1786df-fbc5-45cf-82c9-aeb15bd071ab.jpg,1
"더클래스 유리발수코팅 패키지 유막제거제 유리발수코팅제, 1세트",29900,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5031771296248172-3e22442f-a0d9-4142-b522-a3258eb4d790.jpg,1
"더클래스 리얼리티 유리 유막 제거제, 1개, 100ml",17980,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1509646819679733-796f6387-fd41-4241-be16-7a912a2ed6ee.jpg,1
"불스원 폴라프레쉬 선바이저 디즈니 차량용 방향제 리필 4ml x 10P, 싱그러운 라임모히또향, 1개",26100,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/89809931848495-6dc426fb-508b-4abe-9d43-83f6674b75b2.jpg,1
"하나필터 PM2.5 자동차 에어컨 필터, HF-11, 4개",15660,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/28/13/2/06815ee7-dd12-46df-b057-c203ee72b9c6.jpg,1
"벨킨 부스트업 C타입 USB-A PPS PD 3.0 듀얼 차량용 충전기 37W CCB004bt, 1개, 블랙",29900,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/9x0y6xli/9834bf2fe73a4957a2c59e2dae53db0d.jpg,1
"코날 프리미엄 차량용 고중량 초극세사 세차타월 1.6M타월 1p + 0.6M타월 2p 세트, 1세트",16900,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f641/2b552b9a31d52fbee6d718a29161f045bdd2a882234026f01a671be20e3c.jpg,1
"차량용 인체공학적 고정밴드 요추 등받이쿠션, 블랙, 1개",28400,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/06/05/11/4/a15c240e-7c4f-410c-92a6-1488b9e15e2f.jpg,1
"더클래스 유리막 코팅 물왁스 불렛타이거 500ml + 왁스부스터 200ml 깐부세트, 1세트",28900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2976903288068207-50a1ca08-4d68-4175-8831-cbf48b71ea4c.jpg,1
"블랙라이거 세차버킷 + 뚜껑 + 그릿가드, 20L, 블랙, 1개",17180,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/36526288035564-797cff35-c225-4ace-90cb-570a5dccf02b.jpg,1
"필립스 얼티논 프로3000 합법인증LED 2p, 1세트, HB3(9005)",57820,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/dy5muytl/157cda3224174fbf8a998f076052f9ea.jpg,1
"더클래스 클린 앤 코트 차량 실내 세정 코팅제, 1개, 500ml",23980,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4272813583746488-348ad5c5-80e9-4faa-bdc1-53daef0de574.jpg,1
"돌비웨이 0.3um 초미세먼지 차단 자동차 에어컨 필터, 8호, 1개",24900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1815199105097703-30507f2c-b4cd-4ab5-962f-6a793c018cd6.jpg,1
"더클래스 딥클리너 차량 외부용 다용도세정제, 500ml, 1개",19900,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/125594893030860-5700074c-fb56-474f-84b2-8aee9e2a73c4.jpg,1
"카템 스마트 헤드레스트 목쿠션, BLACK, 1개",28800,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/157693602795287-3862dfe8-35b0-4f44-b828-2cc758340375.jpg,1
"디씨네트워크 월윈드 차량용 초강력 무선 에어건 휴대용 가정용 먼지제거 51000RPM, 블랙, DC Wb AG-01",38250,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1798673929206356-223b0af7-1767-4cce-acd5-0ed2d453fefb.jpg,1
"현대오일뱅크 엑스티어 알파 연료첨가제 가솔린, 6개, 가솔린/휘발유",40200,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/29/13/1/6e717830-91ad-481d-a680-f796207f8b4a.jpg,1
"삼에스 자동차 HUD 헤드업디스플레이 계기판 OBD/GPS겸용 M7, 12V, 1개",29500,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/546507036759771-973adf8b-b16a-4de3-bd18-b5c04cee594c.jpg,1
"[TV홈쇼핑정품 애드크로스]불스프로 충전식 무선 타이어 공기압 체크 공기주입기 자동 에어 콤프레셔, 1개",149400,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/62e5/3716d9d00ff4f3d08ea76d26d9e27e6893248138a1be831399f1f755ce5b.jpg,1
"샤오미 미지아 차량용 핸디 청소기, SSXCQ01XY, 화이트",50320,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/9512935235056120-317cf303-4a0c-426e-8312-4e260f239cf1.jpg,1
"다보니 CU PM0.3 구리 헤파 항균 활성탄 자동차 에어컨필터, 1개, DHC118",14700,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3320363088400561-91243784-7da0-4244-a09d-9864ad277076.jpg,1
"K2 휠 크리너 철분 제거제, 700ml, 1개",12760,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/243634318895632-e5bc3248-cc34-46a4-a007-0d77d4841a27.jpg,1
"포뮬라원 카르나우바 고광택 크림 왁스, 230g, 1개",15820,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/03/24/15/0/3c93e720-321f-4dae-950d-e66b91c06829.jpg,1
"케이엠모터스 알라딘 차량용 쓰레기통 블랙 + 비닐 50p, 1세트",17130,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/10/24/3581329229/da2bb851-11cd-49f9-b25c-c09d1536daa8.jpg,1
"에이센트 차량용 디퓨저 세트, 07 그린에어리, 2개",13900,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/pwbpaieg/9fa84c94d94d47d7bc50af1a40194cb1.jpg,1
"소낙스 워셔액 익스트림 더 뷰, 2L, 6개",33480,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/08/06/20/8/e5f6bf75-88a4-4f13-8366-fda56bf90224.jpg,1
"인포카 스위치 자동차 스캐너 IO180-OH android iOS동시호환 OBD2 / ELM327 / 자동차 진단기, 1개",57000,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d51b/fdc4b771cab718a0cddc7e817029876bde8792746842f542a20ac62c3c9b.png,1
"스타나다인 연료첨가제 디젤 900ml, 디젤/경유, 1개",25000,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/12/13/12/3/f4df43cd-de46-4f86-9fd9-7875e6572a6e.png,1
"에이스피드 차량용 멀티 컵홀더 틈새 수납 QC3.0 USB 충전 사이드포켓, 1개, 블랙(보조석)",20610,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/ddmzwj37/24861f3338d941da94066f644b5f097c.jpg,1
"포팩트 T1 오토바이 헬멧 블루투스, 4FACT T1, 블랙",50440,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/275121172620218-89e45129-af47-46c0-97f0-89386d137e7f.jpg,1
"프레스톤 올인원 워셔액, 3.78L, 1개",21500,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4279462155422223-26ea4a9e-7cee-4b3d-9310-7df0261f84eb.jpg,1
